City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,,,,"<tr><td align=""right"">0</td><td>longyearbyen</td><td align=""right"">75</td><td>SJ</td><td align=""right"">1483588200</td><td align=""right"">73</td><td align=""right"">78.22</td><td align=""right"">15.64</td><td align=""right"">26.6</td><td align=""right"">19.46</td></tr>"
0,jacareacanga,0,BR,1528902000,62,-6.22,-57.76,89.6,6.93,,,,<tr><td align=right>0</td><td>jacareacanga</td><td align=right>0</td><td>BR</td><td align=right>1528902000</td><td align=right>62</td><td align=right>-6.22</td><td align=right>-57.76</td><td align=right>89.6</td><td align=right>6.93</td></tr>
1,kaitangata,100,NZ,1528905304,94,-46.28,169.85,42.61,5.64,,,,<tr><td align=right>1</td><td>kaitangata</td><td align=right>100</td><td>NZ</td><td align=right>1528905304</td><td align=right>94</td><td align=right>-46.28</td><td align=right>169.85</td><td align=right>42.61</td><td align=right>5.64</td></tr>
2,goulburn,20,AU,1528905078,91,-34.75,149.72,44.32,10.11,,,,<tr><td align=right>2</td><td>goulburn</td><td align=right>20</td><td>AU</td><td align=right>1528905078</td><td align=right>91</td><td align=right>-34.75</td><td align=right>149.72</td><td align=right>44.32</td><td align=right>10.11</td></tr>
3,lata,76,IN,1528905305,89,30.78,78.62,59.89,0.94,,,,<tr><td align=right>3</td><td>lata</td><td align=right>76</td><td>IN</td><td align=right>1528905305</td><td align=right>89</td><td align=right>30.78</td><td align=right>78.62</td><td align=right>59.89</td><td align=right>0.94</td></tr>
4,chokurdakh,0,RU,1528905306,88,70.62,147.9,32.17,2.95,,,,<tr><td align=right>4</td><td>chokurdakh</td><td align=right>0</td><td>RU</td><td align=right>1528905306</td><td align=right>88</td><td align=right>70.62</td><td align=right>147.9</td><td align=right>32.17</td><td align=right>2.95</td></tr>
5,martyush,92,RU,1528905306,94,56.4,61.89,55.03,9.33,,,,<tr><td align=right>5</td><td>martyush</td><td align=right>92</td><td>RU</td><td align=right>1528905306</td><td align=right>94</td><td align=right>56.4</td><td align=right>61.89</td><td align=right>55.03</td><td align=right>9.33</td></tr>
6,hobart,20,AU,1528902000,87,-42.88,147.33,44.6,8.05,,,,<tr><td align=right>6</td><td>hobart</td><td align=right>20</td><td>AU</td><td align=right>1528902000</td><td align=right>87</td><td align=right>-42.88</td><td align=right>147.33</td><td align=right>44.6</td><td align=right>8.05</td></tr>
7,broken hill,0,AU,1528905311,88,-31.97,141.45,44.5,7.31,,,,<tr><td align=right>7</td><td>broken hill</td><td align=right>0</td><td>AU</td><td align=right>1528905311</td><td align=right>88</td><td align=right>-31.97</td><td align=right>141.45</td><td align=right>44.5</td><td align=right>7.31</td></tr>
8,harnosand,0,SE,1528903200,44,62.63,17.94,60.8,13.87,,,,<tr><td align=right>8</td><td>harnosand</td><td align=right>0</td><td>SE</td><td align=right>1528903200</td><td align=right>44</td><td align=right>62.63</td><td align=right>17.94</td><td align=right>60.8</td><td align=right>13.87</td></tr>
9,tuatapere,0,NZ,1528905312,100,-46.13,167.69,38.92,3.4,,,,<tr><td align=right>9</td><td>tuatapere</td><td align=right>0</td><td>NZ</td><td align=right>1528905312</td><td align=right>100</td><td align=right>-46.13</td><td align=right>167.69</td><td align=right>38.92</td><td align=right>3.4</td></tr>
10,puerto ayora,90,EC,1528902000,69,-0.74,-90.35,77,13.87,,,,<tr><td align=right>10</td><td>puerto ayora</td><td align=right>90</td><td>EC</td><td align=right>1528902000</td><td align=right>69</td><td align=right>-0.74</td><td align=right>-90.35</td><td align=right>77</td><td align=right>13.87</td></tr>
11,havre-saint-pierre,75,CA,1528902000,58,50.23,-63.6,53.6,19.46,,,,<tr><td align=right>11</td><td>havre-saint-pierre</td><td align=right>75</td><td>CA</td><td align=right>1528902000</td><td align=right>58</td><td align=right>50.23</td><td align=right>-63.6</td><td align=right>53.6</td><td align=right>19.46</td></tr>
12,punta arenas,0,CL,1528902000,100,-53.16,-70.91,35.6,9.17,,,,<tr><td align=right>12</td><td>punta arenas</td><td align=right>0</td><td>CL</td><td align=right>1528902000</td><td align=right>100</td><td align=right>-53.16</td><td align=right>-70.91</td><td align=right>35.6</td><td align=right>9.17</td></tr>
